city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Sivas Province,20,TR,1623714149,87,39.7916,37.0019,50.63,6.91
Kyshtovka,92,RU,1623714149,92,56.555,76.6271,61.3,7.02
Concepción del Oro,58,MX,1623714150,23,24.6333,-101.4167,76.37,16.51
Shihezi,24,CN,1623714150,30,44.3,86.0333,62.94,7.25
Saint George,1,US,1623714150,6,37.1041,-113.5841,109.63,8.99
Roshchino,40,RU,1623714151,75,60.2519,29.6085,53.74,8.84
Birin,95,NP,1623714151,94,26.8865,88.0718,64.44,5.08
Omsukchan,7,RU,1623714152,36,62.5333,155.8,64.08,5.88
Balakhninskiy,98,RU,1623714152,80,58.0106,114.2769,56.48,2.24
Pāsighāt,16,IN,1623714152,91,28.0667,95.3333,79.45,1.77
Rodino,14,RU,1623714153,68,52.5,80.25,56.1,4.94
Rio Grande,2,BR,1623713944,81,-32.035,-52.0986,58.66,4.23
Manjacaze,0,MZ,1623714153,92,-24.7117,33.8828,57.7,4.7
Chernyshevskiy,96,RU,1623714154,74,63.0128,112.4714,56.8,5.55
Batemans Bay,88,AU,1623714154,69,-35.7167,150.1833,55.2,2.66
Wschowa,48,PL,1623714155,63,51.807,16.3166,62.44,7.36
Vetovo,95,BG,1623714155,90,43.7,26.2667,51.78,3.24
Drumheller,2,CA,1623714155,23,51.4617,-112.7101,96.13,9.22
Darnah,0,LY,1623714156,82,32.767,22.6367,71.67,17.0
Kosh-Agach,59,RU,1623714156,69,50.0,88.6667,43.43,3.38
Icod de los Vinos,57,ES,1623714156,79,28.3724,-16.7119,69.46,8.66
Faya,12,SA,1623714157,14,18.3851,42.4509,68.11,3.06
Resistencia,14,AR,1623714050,78,-27.4606,-58.9839,67.05,4.61
Dawlatabad,1,AF,1623714157,11,36.4141,64.9053,72.7,6.71
Telimele,89,GN,1623714158,98,10.9167,-13.3333,71.01,1.99
Alekseyevsk,100,RU,1623714158,77,57.8406,108.3492,57.56,3.04
Gandorhun,100,SL,1623714159,97,7.5,-11.8333,74.35,3.53
Lieto,90,FI,1623714159,94,60.5103,22.4618,57.92,13.8
Las Cruces,1,US,1623713887,14,32.3123,-106.7783,102.96,8.05
Penzance,98,GB,1623714160,93,50.1186,-5.5371,56.08,6.98
Sokolac,63,BA,1623714160,87,43.9397,18.8017,49.17,3.15
Argelia,95,CO,1623714160,99,2.2556,-77.2488,65.62,1.97
Leshukonskoye,80,RU,1623714161,70,64.8989,45.7622,49.15,3.91
Deer Lake,40,CA,1623714161,48,49.1667,-57.4316,62.46,4.61
Hobyo,100,SO,1623714162,87,5.3505,48.5268,76.91,24.76
